    0.000000e+00    2.5000000000e-01    0.0000000000e+00
    1.000000e-02    2.4994559227e-01    4.9995784546e-03
    2.000000e-02    2.4978240164e-01    9.9966281316e-03
    3.000000e-02    2.4951052840e-01    1.4988622313e-02
    4.000000e-02    2.4913014116e-01    1.9973038559e-02
    5.000000e-02    2.4864147638e-01    2.4947360909e-02
    6.000000e-02    2.4804483786e-01    2.9909082040e-02
    7.000000e-02    2.4734059613e-01    3.4855705391e-02
    8.000000e-02    2.4652918778e-01    3.9784747238e-02
    9.000000e-02    2.4561111477e-01    4.4693738723e-02
    1.000000e-01    2.4458694355e-01    4.9580227838e-02
    1.100000e-01    2.4345730427e-01    5.4441781356e-02
    1.200000e-01    2.4222288981e-01    5.9275986713e-02
    1.300000e-01    2.4088445485e-01    6.4080453838e-02
    1.400000e-01    2.3944281477e-01    6.8852816923e-02
    1.500000e-01    2.3789884465e-01    7.3590736142e-02
    1.600000e-01    2.3625347806e-01    7.8291899315e-02
    1.700000e-01    2.3450770596e-01    8.2954023508e-02
    1.800000e-01    2.3266257545e-01    8.7574856581e-02
    1.900000e-01    2.3071918851e-01    9.2152178673e-02
    2.000000e-01    2.2867870075e-01    9.6683803632e-02
    2.100000e-01    2.2654232005e-01    1.0116758038e-01
    2.200000e-01    2.2431130524e-01    1.0560139421e-01
    2.300000e-01    2.2198696471e-01    1.0998316807e-01
    2.400000e-01    2.1957065502e-01    1.1431086370e-01
    2.500000e-01    2.1706377948e-01    1.1858248281e-01
    2.600000e-01    2.1446778671e-01    1.2279606809e-01
    2.700000e-01    2.1178416915e-01    1.2694970430e-01
    2.800000e-01    2.0901446166e-01    1.3104151914e-01
    2.900000e-01    2.0616023996e-01    1.3506968418e-01
    3.000000e-01    2.0322311923e-01    1.3903241573e-01
    3.100000e-01    2.0020475250e-01    1.4292797553e-01
    3.200000e-01    1.9710682925e-01    1.4675467157e-01
    3.300000e-01    1.9393107385e-01    1.5051085869e-01
    3.400000e-01    1.9067924408e-01    1.5419493923e-01
    3.500000e-01    1.8735312958e-01    1.5780536358e-01
    3.600000e-01    1.8395455042e-01    1.6134063069e-01
    3.700000e-01    1.8048535553e-01    1.6479928851e-01
    3.800000e-01    1.7694742127e-01    1.6817993445e-01
    3.900000e-01    1.7334264989e-01    1.7148121567e-01
    4.000000e-01    1.6967296809e-01    1.7470182946e-01
    4.100000e-01    1.6594032556e-01    1.7784052345e-01
    4.200000e-01    1.6214669351e-01    1.8089609589e-01
    4.300000e-01    1.5829406324e-01    1.8386739576e-01
    4.400000e-01    1.5438444469e-01    1.8675332297e-01
    4.500000e-01    1.5041986509e-01    1.8955282841e-01
    4.600000e-01    1.4640236749e-01    1.9226491404e-01
    4.700000e-01    1.4233400946e-01    1.9488863288e-01
    4.800000e-01    1.3821686166e-01    1.9742308899e-01
    4.900000e-01    1.3405300655e-01    1.9986743745e-01
    5.000000e-01    1.2984453705e-01    2.0222088423e-01
    5.100000e-01    1.2559355525e-01    2.0448268607e-01
    5.200000e-01    1.2130217111e-01    2.0665215037e-01
    5.300000e-01    1.1697250122e-01    2.0872863493e-01
    5.400000e-01    1.1260666757e-01    2.1071154782e-01
    5.500000e-01    1.0820679630e-01    2.1260034707e-01
    5.600000e-01    1.0377501653e-01    2.1439454043e-01
    5.700000e-01    9.9313459203e-02    2.1609368507e-01
    5.800000e-01    9.4824255910e-02    2.1769738726e-01
    5.900000e-01    9.0309537774e-02    2.1920530204e-01
    6.000000e-01    8.5771434354e-02    2.2061713284e-01
    6.100000e-01    8.1212072558e-02    2.2193263108e-01
    6.200000e-01    7.6633575588e-02    2.2315159582e-01
    6.300000e-01    7.2038061911e-02    2.2427387325e-01
    6.400000e-01    6.7427644244e-02    2.2529935634e-01
    6.500000e-01    6.2804428572e-02    2.2622798432e-01
    6.600000e-01    5.8170513178e-02    2.2705974220e-01
    6.700000e-01    5.3527987705e-02    2.2779466033e-01
    6.800000e-01    4.8878932238e-02    2.2843281385e-01
    6.900000e-01    4.4225416405e-02    2.2897432218e-01
    7.000000e-01    3.9569498506e-02    2.2941934851e-01
    7.100000e-01    3.4913224657e-02    2.2976809923e-01
    7.200000e-01    3.0258627966e-02    2.3002082340e-01
    7.300000e-01    2.5607727718e-02    2.3017781216e-01
    7.400000e-01    2.0962528593e-02    2.3023939819e-01
    7.500000e-01    1.6325019894e-02    2.3020595509e-01
    7.600000e-01    1.1697174808e-02    2.3007789683e-01
    7.700000e-01    7.0809496774e-03    2.2985567711e-01
    7.800000e-01    2.4782832951e-03    2.2953978878e-01
    7.900000e-01   -2.1089037798e-03    2.2913076322e-01
    8.000000e-01   -6.6787098876e-03    2.2862916973e-01
    8.100000e-01   -1.1229252914e-02    2.2803561489e-01
    8.200000e-01   -1.5758670919e-02    2.2735074196e-01
    8.300000e-01   -2.0265122744e-02    2.2657523020e-01
    8.400000e-01   -2.4746788604e-02    2.2570979428e-01
    8.500000e-01   -2.9201870658e-02    2.2475518360e-01
    8.600000e-01   -3.3628593568e-02    2.2371218169e-01
    8.700000e-01   -3.8025205035e-02    2.2258160550e-01
    8.800000e-01   -4.2389976319e-02    2.2136430480e-01
    8.900000e-01   -4.6721202746e-02    2.2006116152e-01
    9.000000e-01   -5.1017204192e-02    2.1867308905e-01
    9.100000e-01   -5.5276325561e-02    2.1720103165e-01
    9.200000e-01   -5.9496937237e-02    2.1564596373e-01
    9.300000e-01   -6.3677435527e-02    2.1400888922e-01
    9.400000e-01   -6.7816243084e-02    2.1229084091e-01
